id,lon,lat,population_density,avg_restaurant_dist,avg_bar_dist,avg_school_dist,avg_toilets_dist,avg_college_dist,avg_hospital_dist
55246,12.527916617447243,55.69541662603848,8509.044921875,826.561403508772,920.0526315789474,1000.0,939.9649122807018,1000.0,813.5964912280701
55247,12.53624995074724,55.69541662603848,11358.98046875,535.3448275862069,590.9425287356322,904.5402298850574,600.6551724137931,1000.0,963.5632183908046
55248,12.544583284047242,55.69541662603848,12426.8994140625,181.54430379746836,177.73417721518987,496.36708860759495,341.3544303797468,1000.0,1000.0
55249,12.552916617347242,55.69541662603848,12974.9111328125,157.5257731958763,225.36082474226805,759.319587628866,401.37113402061857,1000.0,1000.0
55250,12.561249950647241,55.69541662603848,9767.416015625,222.82142857142858,221.10714285714286,991.2232142857143,186.0,1000.0,1000.0
55251,12.569583283947242,55.69541662603848,6038.10302734375,125.03478260869565,400.2,686.7652173913043,482.1304347826087,1000.0,1000.0
55252,12.577916617247242,55.69541662603848,8422.69921875,309.5833333333333,644.0833333333334,442.4166666666667,192.15833333333333,1000.0,1000.0
55253,12.586249950547241,55.69541662603848,8635.875,311.61290322580646,827.7870967741935,375.741935483871,275.8838709677419,1000.0,1000.0
55254,12.594583283847243,55.69541662603848,2288.375732421875,556.8666666666667,979.0266666666666,914.3466666666667,321.37333333333333,1000.0,1000.0
55255,12.602916617147242,55.69541662603848,182.84512329101562,323.2352941176471,1000.0,1000.0,144.2058823529412,1000.0,1000.0
55256,12.611249950447242,55.69541662603848,723.6754150390625,225.0,178.73076923076923,1000.0,192.0,1000.0,1000.0
55640,12.527916617447243,55.68708329273848,7157.70458984375,290.7878048780488,438.0609756097561,582.2487804878049,461.98536585365855,592.9878048780488,444.0658536585366
55641,12.53624995074724,55.68708329273848,11117.03125,182.77167630057804,264.1040462427746,582.4595375722544,567.806358381503,671.5780346820809,875.985549132948
55642,12.544583284047242,55.68708329273848,10938.3203125,209.864406779661,182.8771186440678,532.0338983050848,522.5805084745763,990.5932203389831,1000.0
55643,12.552916617347242,55.68708329273848,8523.8779296875,147.3593220338983,162.2135593220339,736.8372881355932,297.43050847457624,1000.0,1000.0
55644,12.561249950647241,55.68708329273848,7591.88916015625,157.27528089887642,190.56179775280899,933.6067415730337,415.685393258427,982.376404494382,1000.0
55645,12.569583283947242,55.68708329273848,6156.22998046875,204.7459283387622,171.2214983713355,398.89250814332246,252.64169381107493,670.3257328990228,1000.0
55646,12.577916617247242,55.68708329273848,3479.35595703125,236.46129032258065,389.7258064516129,332.27096774193546,228.18064516129033,674.9935483870968,1000.0
55647,12.586249950547241,55.68708329273848,6790.109375,166.13513513513513,310.52252252252254,435.73873873873873,425.6621621621622,837.5135135135135,1000.0
55648,12.594583283847243,55.68708329273848,2070.75341796875,201.83116883116884,618.7878787878788,859.6060606060606,268.987012987013,1000.0,1000.0
55649,12.602916617147242,55.68708329273848,376.8615417480469,330.14159292035396,948.7699115044247,1000.0,425.46902654867256,586.1681415929204,1000.0
55650,12.611249950447242,55.68708329273848,888.4359741210938,364.6167664670659,815.6586826347306,1000.0,717.1437125748503,787.2634730538922,1000.0
56032,12.527916617447243,55.678749959438484,5714.77587890625,174.0859872611465,212.47770700636943,477.55732484076435,234.4140127388535,645.0828025477707,968.0764331210191
56033,12.53624995074724,55.678749959438484,9771.0341796875,181.37529137529137,181.08158508158508,445.8787878787879,233.997668997669,768.7692307692307,996.060606060606
56034,12.544583284047242,55.678749959438484,10264.796875,265.5704387990762,277.7921478060046,479.7852193995381,461.7921478060046,972.1062355658198,1000.0
56035,12.552916617347242,55.678749959438484,6821.009765625,132.80601092896174,241.37431693989072,667.5765027322404,655.3251366120219,1000.0,1000.0
56036,12.561249950647241,55.678749959438484,2869.0830078125,99.32806324110672,150.59288537549406,636.4822134387351,441.7351778656126,984.0237154150198,1000.0
56037,12.569583283947242,55.678749959438484,3166.744140625,91.23076923076923,121.42153846153846,369.32,216.38153846153847,764.4276923076923,1000.0
56038,12.577916617247242,55.678749959438484,3530.028076171875,67.18032786885246,104.75081967213114,329.4295081967213,164.2327868852459,562.3344262295082,1000.0
56039,12.586249950547241,55.678749959438484,3688.186767578125,99.87676056338029,138.0211267605634,379.83098591549293,208.96830985915494,694.3591549295775,1000.0
56040,12.594583283847243,55.678749959438484,1511.360595703125,66.22784810126582,150.27426160337552,483.84388185654007,220.46413502109704,969.5527426160338,1000.0
56041,12.602916617147242,55.678749959438484,1164.57421875,315.1775700934579,458.4766355140187,904.1121495327103,521.0498442367601,563.828660436137,1000.0
56042,12.611249950447242,55.678749959438484,528.3597412109375,615.0,914.6438356164383,1000.0,807.6712328767123,873.1369863013699,1000.0
56425,12.527916617447243,55.67041662613848,1732.111572265625,174.02654867256638,323.8185840707965,500.26106194690266,266.37168141592923,958.4601769911504,1000.0
56426,12.53624995074724,55.67041662613848,6562.04638671875,241.40683229813664,253.19875776397515,703.3385093167702,392.444099378882,851.1459627329192,1000.0
56427,12.544583284047242,55.67041662613848,13227.7578125,143.14150943396226,203.18553459119497,392.50314465408803,496.9937106918239,939.62893081761,1000.0
56428,12.552916617347242,55.67041662613848,13222.109375,84.26136363636364,85.52272727272727,443.5265151515151,262.2537878787879,1000.0,1000.0
56429,12.561249950647241,55.67041662613848,4104.78759765625,70.51090342679127,102.60747663551402,323.23364485981307,187.55140186915887,1000.0,1000.0
56430,12.569583283947242,55.67041662613848,2453.778564453125,148.96253602305475,128.54755043227667,564.1844380403459,227.72622478386168,1000.0,1000.0
